Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (ozf·in),Thrust (ozf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (ozf/W),Overall Efficiency (ozf/W),Vibration (g),App message
19.06940499998629,1585,,,,0.298828125,-0.2578125,-0.6484375,33.27559221761649,41.865127750082216,12.753000259399414,15.97961426,5682,0,203.7880247749854,139.81952212392102,68.61027397380398,0.2994226207766428,0.20543468045439875,0.958984375,
19.097614999994637,1586,,,,-1.048828125,-0.443359375,-1.21875,33.573158102030035,41.88057304719501,12.750500679016113,15.37353516,5690,0,196.0202704486437,141.2755717792612,72.07191963153356,0.29644596386863065,0.21365429683032447,0.974609375,
19.121539999991654,1587,,,,-0.673828125,0.4375,-1.580078125,33.963994673842855,42.02462720442517,12.720444679260254,17.55588150024414,5707,0,223.3186194195041,143.32463903953422,64.17943985687053,0.2932128591848972,0.18818237061318158,0.98046875,
19.14860500000417,1588,,,,-1.162109375,-0.037109375,-1.412109375,34.462063915834754,42.128615343402366,12.785714149475098,14.449637413024902,5713,0,184.74893352649724,145.58983197789257,78.80415285699695,0.28936509350322953,0.22803171059907718,0.984375,
19.172310000002383,1589,,,,-1.103515625,0.1484375,-1.47265625,34.35354749921653,42.483423255901876,12.742222785949707,16.1328125,5711,0,205.56789103895426,145.07396252995386,70.57228723646483,0.29283975232378584,0.20666371115249435,0.998046875,
19.196539999991657,1590,,,,-0.890625,0.10546875,-1.408203125,32.15317554036616,42.40754823383529,12.75085735321045,16.033063888549805,5713,0,204.4353105778082,135.82681941925583,66.43999954575365,0.3122177815482535,0.20743749264242176,1.005859375,
19.219984999999404,1590,,,,-1.0625,-0.08203125,-1.3046875,34.53686798716712,42.28796187401152,12.773000717163086,15.04638672,5712,0,192.18750834930688,145.8840371406924,75.90713797878244,0.2898738114385228,0.22003491401299513,1.01171875,
19.246060000002384,1591,,,,-1.0234375,-0.033203125,-1.30859375,33.01242263386779,42.45961876519078,12.744000434875488,16.42159652709961,5711,0,209.27683328270723,139.4196400698464,66.61971986240238,0.30454546248949843,0.20288733396416156,1.015625,
19.269619999989867,1592,,,,-0.974609375,-0.255859375,-1.232421875,33.26929208966134,42.35715986,12.761333465576172,15.39930534362793,5712,0,196.51567062826507,140.53886764170807,71.51534897568327,0.30139107119844943,0.21554087634912114,1.017578125,
19.29590000000596,1593,,,,-1.38671875,-0.556640625,-1.05859375,34.385035274398845,42.39596426100071,12.75200080871582,15.530831336975098,5711,0,198.04917376913545,145.22618530562363,73.32834696645227,0.2919305783029405,0.21406786735915084,1.029296875,
19.320540000006556,1594,,,,-1.1484375,-0.625,-0.837890625,32.963686495304785,42.41374164505379,12.746999740600586,16.19689941,5713,0,206.46187262958847,139.25707978100746,67.44929608908829,0.304571529,0.2054313520692895,1.048828125,
19.34675,1595,,,,-0.474609375,-0.421875,-0.56640625,34.364670357188594,42.35838325342181,12.747000694274902,16.29150391,5718,0,207.66781160375103,145.31857834064974,69.97645769866865,0.2914863587099446,0.20397182850005394,1.0625,
19.36962000000477,1595,,,,0.375,0.14453125,-0.9375,33.56131274144442,42.43354526857959,12.725777626037598,17.61772918701172,5740,0,224.19930390966329,142.45813074911075,63.540844358067886,0.29786678405398404,0.18926706965012416,1.072265625,
19.39207500000298,1596,,,,0.109375,-0.0546875,-0.640625,36.66416828190494,42.59273887545497,12.73942756652832,16.526227951049805,5767,0,210.53468393033472,156.3589969342173,74.26757150662928,0.272403505,0.20230746820580298,1.080078125,
19.41679999999702,1597,,,,-0.3984375,0.181640625,-1.015625,36.13398641,43.07731595690199,12.732001304626465,16.369977951049805,5775,0,208.42258062947258,154.32005227136847,74.04190649846815,0.27914269936321345,0.20668257645981056,1.083984375,
19.443084999993445,1598,,,,-0.099609375,-0.013671875,-0.955078125,35.63534387,43.28085744657646,12.73750114440918,17.43286133,5784,0,222.05109111731872,152.40783907650925,68.63638377529338,0.2839805203513799,0.1949139597954482,1.083984375,
19.4665,1599,,,,0.349609375,0.419921875,-0.923828125,35.63994573150037,43.56865991356922,12.72350025177002,16.43249512,5798,0,209.07885576074477,152.7983787,73.08169835700976,0.2851382343554518,0.2083838643321549,1.09375,
19.491359999999403,1599,,,,0.412109375,0.134765625,-1.01953125,35.613008265506984,43.71019082919185,12.732501029968262,16.85546875,5810,0,214.61227321997285,153.01890441282083,71.30016476549774,0.28565222706907284,0.20367050855656268,1.09765625,
19.516695000007747,1600,,,,0.26171875,0.240234375,-0.970703125,35.312551061919464,43.952307330714845,12.753499984741211,18.51928711,5811,0,236.18572786683217,151.75399063975988,64.25197322901866,0.2896286756310133,0.18609213912999997,1.095703125,
19.542864999994634,1601,,,,0.111328125,0.12109375,-1.0390625,35.48584569415905,44.01087712075641,12.744500160217285,18.01452637,5834,0,229.5861341728596,153.0949624611652,66.68301768864544,0.2874743650165525,0.19169658167430884,1.083984375,
19.566694999992848,1602,,,,-0.287109375,-0.080078125,-1.130859375,35.63303665191703,44.15672813185861,12.758001327514648,18.23608398,5829,0,232.65598368132487,153.5833491,66.01306646796078,0.2875098659878184,0.18979407893648356,1.08203125,
19.59184499999881,1603,,,,-0.412109375,-0.01171875,-0.955078125,35.42099721765615,44.28503114450841,12.712000846862793,16.61560059,5838,0,211.21752871957142,152.9268478818257,72.40253628990381,0.2895831030188348,0.2096655112526414,1.080078125,
19.616765000000598,1604,,,,0.1484375,-0.169921875,-0.986328125,35.41727128874704,44.351323583106364,12.72499942779541,17.47680664,5846,0,222.39235450164415,153.1025648204075,68.84344795192841,0.2896837400152727,0.19942827478261388,1.08984375,
19.645785000011326,1604,,,,-0.3359375,-0.1796875,-0.953125,35.75088519040487,44.49583651153791,12.72900104522705,17.44628906,5853,0,222.07383171189576,154.74397252827157,69.68131784614154,0.28754487676997287,0.2003650595323808,1.09375,
19.668439999997616,1605,,,,-0.072265625,-0.12109375,-0.91796875,35.93344325358865,44.58246780672994,12.705779075622559,17.65950584411621,5863,0,224.37777984000604,155.7816247371323,69.42827620819376,0.2861856645927201,0.1986937736816887,1.0859375,
19.697965000003578,1606,,,,-0.0625,-0.326171875,-1.009765625,36.253892923302416,44.77790433851354,12.720572471618652,17.459543228149414,5875,0,222.0953849550333,157.50695597473128,70.91860823970792,0.2842915988148309,0.20161564522189204,1.080078125,
19.721484999999404,1607,,,,-0.427734375,0.109375,-0.947265625,36.469224865725906,45.02203369868254,12.710000991821289,17.70751953,5881,0,225.06259080488235,158.59257543336602,70.46598675781601,0.2838848765502198,0.20004227951732023,1.068359375,
19.746069999992848,1608,,,,0.15625,0.2109375,-0.99609375,36.24192457392439,45.200547307775615,12.717714309692383,17.908761978149414,5900,0,227.75851847838567,158.11411622575244,69.42182328989705,0.28587294,0.19845820744599352,1.056640625,
19.769469999998808,1609,,,,0.099609375,0.056640625,-1.064453125,36.27467618,45.271350996520376,12.727500915527344,17.48962402,5897,0,222.5992057705298,158.1732497331628,71.05741872961505,0.2862136996798943,0.2033760670430654,1.0390625,
